Compound	Class	3cP	4cvCH	6cvCH	ncof	ncoi	noxy	1k	1ka	Shal	S(5)	S(7)	S(16)	S(17)	S(20)	S(26)	S(27)	S(30)	S(31)	S(36)	S(37)	S(56)	S(60)	eb	q+	q-	m	A	Svnc
Carmustine	-1	3.0016	0	0	0	0	2	12	11.45	10.609	0	0	0	0	0	0	0	0	0	0	0.7079	0	10.609	0.1505	0.24	0.4096	3.2135	1.1107	123.561
Dacarbazine	-1	3.689	0	0	0	0	1	11.0769	9.1703	0	0	0	3.4242	0	1.3374	0	0	0	0	0	1.4917	0	0	0.1347	0.2652	0.4151	5.001	0.5552	110.9051
Desoximetasone	-1	12.6905	0	0.0942	1	0	4	20.28	19.0068	16.8266	0	0	6.8683	0	4.5381	0	0	0	0	0	0	0	0	0.1477	0.2233	0.3442	3.0844	0.7089	167.33
Amikacin	-1	15.4528	0	0.0977	0	0	13	34.4898	33.3335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1407	0.2421	0.391	3.2097	-1.3608	224.8777
Mercaptopurine	-1	3.6832	0	0.0161	0	0	0	6.6942	5.6673	0	0	0	0	0	1.5707	2.0868	0	0	0	0	0	0	0	0.1303	0.2857	0.3909	1.2575	1.346	70.476
Acetylcysteine	-1	2.2413	0	0	0	0	3	10	9.45	0	0	0	1.2633	0	0	0	0	0	0	0	0	0	0	0.1368	0.252	0.3776	3.4656	-0.2094	86.8361
Isoniazid	-1	3.0985	0	0.0248	0	0	1	8.1	6.5388	0	0	0	0	0	0	0.5116	0	0	0	0	0	0	0	0.1415	0.2334	0.3544	4.3163	0.3704	84.6865
Cefaclor	-1	9.0884	0.0745	0.088	0	0	4	18.7811	16.8148	5.8977	0	0	0	0	0	0.6288	0	0	0	0	0	1.3	5.8977	0.1388	0.2585	0.3691	3.3793	0.7907	149.957
Cefazolin	-1	10.5903	0.0745	0.0559	0	0	4	22.2031	20.0595	0	0	0	1.8445	0	1.2902	1.5748	0	0	3.598	0	1.2335	2.8127	0	0.1368	0.2619	0.4142	6.825	1.433	185.5058
Hydroflumethiazide	-1	6.7438	0	0.075	3	0	4	16.3719	14.4589	38.4854	0	0	0	0	0	-3.7728	0	4.7126	0	0	0	0	0	0.1441	0.2679	0.9002	8.6936	1.9659	142.7033
Loteprednol	-1	12.7589	0	0.105	0	0	7	25.1037	23.7673	5.6953	0	0	5.6584	0	5.233	0	0	0	0	0	0	0	5.6953	0.1439	0.2075	0.3429	4.1254	0.2099	199.1214
Nandrolone	-1	8.6908	0	0.1379	0	0	2	13.6484	13.0622	0	0	0	2.3346	0	1.9739	0	0	0	0	0	0	0	0	0.1457	0.2074	0.3432	4.1511	0.0157	107.9298
Estradiol	-1	8.6908	0	0.1138	0	0	2	13.6484	12.8488	0	0	0	2.3174	0	0	3.2315	0	0	0	0	0	0	0	0.1326	0.2246	0.3343	2.0404	-0.3917	111.787
Neomycin	-1	17.0278	0	0.0977	0	0	13	34.8652	34.1196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1333	0.2342	0.3607	2.6379	-1.5275	230.4527
Astemizole	1	12.599	0	0.1479	1	0	1	25.6413	22.5662	13.38	0	0	1.6994	0	0	5.1567	0	0	0	2.5455	2.207	0	0	0.131	0.2468	0.3981	2.29	0.2348	232.1315
Fosphenytoin	1	8.8546	0	0.0642	0	0	6	19.7531	17.1917	0	0	0	0	0	0	1.0523	0	0	0	0	0	0	0	0.1409	0.2878	1.0958	4.8968	0.1281	178.8625
Aprindine	1	8.4429	0	0.0599	0	0	0	18.7811	17.037	0	0	0	4.5121	0	0	4.4391	0	0	0	2.5204	2.6424	0	0	0.1323	0.1379	0.4011	1.3461	-0.4253	154.2608
Ibutilide	1	7.1623	0	0.0278	0	0	3	24.0385	22.8004	0	0	0	5.55	0	0	1.3429	0	0	0	2.4561	0	0	0	0.1395	0.2582	0.888	5.6718	1.4389	168.3089
Droperidol	1	10.3667	0	0.1012	1	0	2	21.2404	18.3769	12.943	0	0	0	0	2.0903	0.119	1.7428	0	0	2.2791	0	0	0	0.1331	0.2785	0.396	5.4994	0.6069	184.2725
Tizanidine	1	6.0718	0	0.0208	0	0	0	11.1111	9.9209	6.1301	0	0	0	0	0	1.3867	1.6291	0	0	0	0	0	6.1301	0.1317	0.2579	0.4146	2.8298	1.3847	122.9348
Halofantrine	1	11.2466	0	0.0629	3	0	1	27.5853	26.0814	52.8961	0	0	4.3041	0	0	0.5329	2.081	0	0	2.3551	0	0	12.5771	0.1329	0.2138	0.3379	3.1535	1.2962	278.3914
Adenosine_phosphate	1	7.7585	0	0.0144	0	0	4	13.9592	12.2354	0	0	0	0	0	1.3989	0.9982	0	5.664	0	0	1.4553	0	0	0.1312	0.2534	0.3912	1.9791	0.1278	113.7513
Ketanserin	1	11.0713	0	0.1341	1	0	3	22.2031	19.2649	13.0447	0	0	0	0	0	-0.5045	1.0366	0	0	2.1622	0	0	0	0.1391	0.2772	0.3963	6.0746	0.6444	198.6793
Phenylpropanolamine	1	3.445	0	0.0321	0	0	1	9.0909	8.2386	0	0	0	1.7894	0	0	0.8773	0	0	0	0	0	0	0	0.1383	0.2077	0.3479	1.4705	-0.4575	82.6862
Nicardipine	1	11.964	0	0.0779	0	0	6	29.5544	25.9537	0	0	0	6.5839	0	0	1.4252	0	0	0	2.0327	-0.5178	0	0	0.1379	0.1986	0.3643	10.9904	0.7057	247.4647
Thioridazine	1	9.5672	0	0.1506	0	0	0	18.3673	17.3207	0	0	0	4.4549	0	0	6.8626	0	0	0	2.5628	2.5589	3.7334	0	0.1233	0.1573	0.3107	0.8532	0.197	144.316
Ondansetron	1	9.0804	0	0.0639	0	0	1	15.5232	13.3131	0	0	0	4.0471	0	3.7572	1.1531	0	0	0	0	4.2638	0	0	0.1299	0.179	0.3078	5.1951	0.2943	158.4946
Salmeterol	1	9.2287	0	0.0561	0	0	4	26.2539	24.5089	0	3.0099	0	0	0	0	2.5874	0	0	3.2682	0	0	0	0	0.1341	0.2257	0.3433	2.1168	-0.3253	204.6314
Chloral_hydrate	1	1.7321	0	0	0	0	2	7	7.79	14.6968	0	0	0	0	0	0	0	0	0	0	0	0	14.6968	0.161	0.2195	0.337	3.3824	0.351	108.0023
Foscarnet_sodium	1	1.7321	0	0	0	0	5	7	6.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1586	0.2711	1.0644	3.0063	0.5501	64.484
Isoprenaline	1	4.6428	0	0.0241	0	0	3	13.0667	12.1311	0	2.6702	0	3.9742	0	0	0.192	0	0	3.0837	0	0	0	0	0.1324	0.2415	0.3398	2.7319	-0.245	105.7872
Dirithromycin	-1	21.629	0	0.0825	0	0	14	50.6428	49.7226	0	4.8332	0	25.0724	0	0	0	0	0	3.5853	1.9376	0	0	0	0.1369	0.2397	0.352	8.276	-1.0302	332.1331
Ethionamide	-1	3.3435	0	0.0215	0	0	0	9.0909	8.5556	0	0	0	2.0473	0	0	1.9187	0	0	0	0	0	0	0	0.1294	0.2612	0.3371	4.7063	0.9811	98.8516
Naftifine	-1	7.4624	0	0.0839	0	0	0	16.8438	14.5528	0	0	0	2.1638	0	4.4028	2.634	2.664	0	0	2.3345	0	0	0	0.1282	0.1556	0.2351	1.1908	0.4398	175.1342
Butenafine	-1	8.2355	0	0.0796	0	0	0	18.7811	16.7278	0	0	0	8.9696	0	0	4.1487	2.6739	0	0	2.3828	0	0	0	0.1274	0.1512	0.2259	1.1428	0.3632	174.5251
Guaifenesin	-1	4.3181	0	0.0278	0	0	4	12.0714	11.1366	0	0	0	1.5463	0	0	1.1668	0	0	0	0	0	0	0	0.1298	0.2211	0.3482	2.6549	-0.3976	97.5244
Benzonatate	-1	11.1751	0	0.0278	0	0	11	40.0238	38.3148	0	0	0	3.792	0	0	1.5189	0	0	0	0	0	0	0	0.1302	0.2378	0.3855	5.1019	-0.027	308.3275
Estrone	-1	8.6908	0	0.1138	0	0	2	13.6484	12.5801	0	0	0	2.2178	0	0	3.1653	0	0	0	0	0	0	0	0.1336	0.2254	0.273	1.5849	-0.29	116.4054
Alendronic_acid	-1	4.341	0	0	0	0	7	14	13.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141	0.2698	1.0569	4.818	0.2516	99.3822
Fluticasone	-1	13.6098	0	0.0875	3	0	4	23.168	22.0875	45.0858	0	0	4.7891	0	3.6778	0	0	0	0	0	0	0.3705	0	0.1446	0.2295	0.3209	7.4941	1.0173	185.1658
Bendroflumethiazide	-1	9.1901	0	0.0971	3	0	4	21.7027	19.0433	39.8174	0	0	0	0	0	-3.064	0	4.842	0	0	0	0	0	0.143	0.2661	0.901	9.0341	1.8604	199.7208
Cortisone	-1	11.5402	0	0.1118	0	0	5	19.3222	18.0529	0	0	0	3.9932	0	1.765	0	0	0	0	0	0	0	0	0.1451	0.2193	0.3342	7.484	-0.016	146.2484
Nystatin	-1	20.0569	0	0.0278	0	0	17	59.124	56.2698	0	0	0	5.2256	0	20.9967	0	0	0	0	0	0	0	0	0.1322	0.2473	0.3525	7.5154	0.2574	406.8623
Cefotetan	-1	13.7016	0.4976	0.0559	0	0	8	28.9941	26.4821	0	0	0	2.8587	0	0	0	0	0	3.7175	0	1.4352	4.0629	0	0.1358	0.2645	0.433	9.8316	1.6415	213.7899
Cefalexin	-1	9.0884	0.0745	0.088	0	0	4	18.7811	16.5347	0	0	0	1.6916	0	0	0.6499	0	0	0	0	0	1.4319	0	0.1369	0.2556	0.3683	2.9335	0.534	162.3161
Methenamine	-1	4	0	0.1265	0	0	0	5.625	5.4852	0	0	0	0	0	0	0	0	0	0	9.875	0	0	0	0.141	0.1143	0.3083	0.0136	-2.4085	56.8855
Calcipotriol	-1	11.8481	0	0.0927	0	0	3	23.168	22.0489	0	0	0	4.8267	4.0549	8.759	0	0	0	0	0	0	0	0	0.1296	0.2059	0.3369	4.6296	-0.1927	181.5443
Cefdinir	-1	9.6677	0.0745	0.0559	0	0	5	20.727	18.228	0	0	0	0	3.5609	1.3978	0.267	0	5.4953	0	0	0	1.3019	0	0.1322	0.2728	0.3933	3.1856	0.4439	155.628
Butoconazole	-1	8.6462	0	0.0518	0	0	0	19.7531	18.6549	18.6696	0	0	0	0	5.6086	4.3547	0	0	0	0	2.0876	1.724	18.6696	0.134	0.2041	0.2286	5.2223	0.9303	211.846
Nelfinavir	-1	13.8427	0	0.1825	0	0	4	32.9043	30.5659	0	0	0	7.6858	0	0	1.9944	0	0	0	2.1569	0	1.5747	0	0.1316	0.2345	0.3792	6.4751	0.3278	238.9424
Kanamycin	-1	13.2573	0	0.0977	0	0	11	27.5853	26.9953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1417	0.2236	0.3796	1.6152	-1.4969	177.507
Etacrynic_acid	-1	6.4507	0	0.0208	0	0	4	17.0526	15.6967	11.9303	0	0	1.8056	3.642	0	0.3849	0	0	0	0	0	0	11.9303	0.145	0.2586	0.3358	5.7806	0.7974	116.7472
Ceftizoxime	-1	9.0901	0.0745	0.0645	0	0	5	19.7531	17.6659	0	0	0	1.2762	0	3.0026	0	0	7.4961	0	0	0	2.4363	0	0.1314	0.2673	0.3631	7.2623	0.7639	163.9334
Abacavir	-1	8.3023	0	0.0125	0	0	1	14.5833	12.5801	0	0	0	0	0	5.921	2.4892	0	5.8397	0	0	2.0115	0	0	0.1292	0.2492	0.3986	2.5081	0.0837	129.9456
Imiquimod	-1	6.5514	0	0.0418	0	0	0	13.005	11.017	0	0	0	4.3861	0	1.8563	2.3957	2.0351	5.9795	0	0	2.167	0	0	0.1259	0.25	0.3957	3.9001	0.2024	125.0839
Monoethanolamine_oleate	-1	4.385	0	0	0	0	2	20	19.21	0	0	0	2.2588	0	4.6603	0	0	0	0	0	0	0	0	0.1402	0.248	0.3766	1.5919	-1.2054	130.3957
Chlorothiazide	-1	5.9505	0	0.0604	0	0	4	13.4321	11.8924	5.6907	0	0	0	0	0.9768	-0.8653	0	4.9134	0	0	0	0	5.6907	0.1488	0.2373	0.8852	7.4457	2.4175	95.598
Mesuximide	-1	6.0261	0	0.0321	0	0	2	11.4844	9.8977	0	0	0	3.366	0	0	0.9099	0	0	0	0	0	0	0	0.1418	0.14	0.322	1.8816	-0.0977	107.9025
Medroxyprogesterone	-1	11.2374	0	0.1182	0	0	3	18.3673	17.4536	0	0	0	8.3963	0	1.9571	0	0	0	0	0	0	0	0	0.1448	0.2132	0.3183	5.435	-0.0345	135.0828
Homatropine_methylbromide	-1	7.6636	0	0.0751	0	0	3	14.9174	13.7393	0	0	0	2.152	0	0	0.5911	0	0	0	2.4008	0	0	0	0.1372	0.2225	0.3368	1.3549	-0.2931	127.2785
Cefepime	-1	11.8595	0.0745	0.0559	0	0	5	25.1037	22.8301	0	0	0	3.4207	0	0	0.5058	0	5.6388	0	0	0	1.4576	0	0.0677	0.2651	0.4001	5.3499	0.0184	211.9626
Enalapril	-1	8.9478	0	0.0321	0	0	5	23.2806	21.0546	0	4.9792	0	3.3995	0	0	1.0954	0	0	3.0493	0	0	0	0	0.1383	0.2514	0.3733	5.899	-0.4863	186.1125
Levonorgestrel	-1	10.0448	0	0.1379	0	0	2	16.4675	15.4573	0	0	6.6906	2.2167	0	1.9568	0	0	0	0	0	0	0	0	0.1462	0.2199	0.3262	3.7549	0.0525	138.0888
Guanabenz	-1	4.0997	0	0.0241	0	0	0	12.0714	10.8185	11.7129	0	0	0	0	1.4088	1.572	0	11.8796	0	0	0	0	11.7129	0.1305	0.2454	0.4721	2.9719	0.4936	110.3248
Ceftriaxone	-1	13.3964	0.0745	0.0684	0	0	7	28.9941	25.8896	0	0	0	2.7379	0	0	0.3903	0	5.6184	0	0	1.2536	2.3107	0	0.132	0.2757	0.3845	9.3722	1.4503	201.362
Permethrin	-1	8.8997	0	0.0599	0	0	3	20.727	19.121	11.4549	0	0	4.0102	0	1.7117	2.3268	0	0	0	0	0	0	11.4549	0.14	0.1576	0.3599	2.3132	0.0549	163.2771
Acetohexamide	-1	7.1548	0	0.1298	0	0	4	18.3403	16.3522	0	0	0	1.4022	0	0	0.3768	0	0	0	0	0	0	0	0.1474	0.2427	0.8701	8.1286	1.7727	150.7676
Methylphenobarbital	-1	7.1545	0	0.0461	0	0	3	14.41	12.2912	0	0	0	3.1305	0	0	0.6059	0	0	0	0	0	0	0	0.1421	0.2834	0.3802	1.2939	0.1779	119.6135
Phenazopyridine	-1	5.2796	0	0.0507	0	0	0	12.4567	10.1002	0	0	0	0	0	0	1.9237	0	11.1121	0	0	0	0	0	0.1281	0.2568	0.4065	1.7923	0.2662	108.4076
Clomifene	-1	10.0099	0	0.0919	0	0	1	23.6587	21.322	6.8743	0	0	4.3457	0	0	4.0504	0	0	0	2.3514	0	0	6.8743	0.1332	0.1437	0.2375	2.6094	-0.2117	238.3883
Capreomycin	-1	15.0603	0	0.0361	0	0	8	42.1684	37.1285	0	0	0	0	0	0.7345	0	0	7.8673	0	0	0	0	0	0.1374	0.2633	0.4317	2.5937	0.1407	261.2797
Fosfomycin	-1	2.425	0	0	0	0	4	6.125	5.7905	0	0	0	1.6287	0	0	0	0	0	0	0	0	0	0	0.1527	0.3075	1.156	5.1869	-0.3504	62.4444
Oxandrolone	-1	9.944	0	0.1257	0	0	3	15.5232	15.1373	0	0	0	6.7599	0	0	0	0	0	0	0	0	0	0	0.1489	0.2077	0.3386	3.5223	-1.3544	107.1805
Olsalazine	-1	7.4291	0	0.0481	0	0	6	18.3403	15.4489	0	0	0	0	0	0	-1.1152	0	0	0	0	0	0	0	0.1342	0.2796	0.4048	1.5818	0.9428	160.376
Gabapentin	-1	3.5055	0	0.0884	0	0	2	10.0833	9.5175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1422	0.231	0.398	2.851	-1.5337	69.7852
Nilutamide	-1	7.7725	0	0.0241	3	0	4	18.3403	15.7335	38.7407	0	0	2.7843	0	0	-3.0612	0	0	0	0	-1.1782	0	0	0.1549	0.2903	0.3809	9.0714	1.6884	172.3534
Ciclopirox	-1	5.2769	0	0.1207	0	0	2	11.4844	10.4286	0	0	0	1.8966	0	0	1.4177	0	0	0	0	0	0	0	0.1341	0.2545	0.3917	3.6276	0.0114	94.6954
Alclometasone	-1	12.4248	0	0.0974	0	0	5	21.2404	20.2704	6.8646	0	0	5.7639	0	5.119	0	0	0	0	0	0	0	6.8646	0.1451	0.215	0.3352	6.2909	0.4202	168.0805
Nedocromil	-1	9.9251	0	0.0489	0	0	7	21.7027	18.684	0	0	0	3.6105	0	1.9019	1.1667	0	0	0	0	1.4692	0	0	0.1347	0.2615	0.367	7.4059	1.2506	153.0993
Minocycline	-1	13.5376	0	0.0966	0	0	7	26.0741	23.2743	0	0	0	6.788	0	0	1.0447	0	0	0	1.5221	1.8053	0	0	0.1354	0.3004	0.4372	5.1808	0.5558	185.4676
Famciclovir	-1	7.0743	0	0.0144	0	0	4	19.3264	16.9716	0	0	0	2.6785	0	1.6463	1.4607	0	5.5916	0	0	1.8352	0	0	0.1312	0.2505	0.3924	4.7664	0.232	142.1334
Nitrofural	-1	3.9184	0	0	0	0	4	12.0714	9.8649	0	0	0	0	0	1.095	-0.2537	0	0	0	0	-0.6817	0	0	0.1419	0.2663	0.4419	10.6811	1.5941	109.2812
Clidinium_bromide	-1	10.3468	0	0.2341	0	0	3	19.3222	17.4061	0	0	0	2.2329	0	0	1.0794	0	0	0	0	0	0	0	0.0605	0.2255	0.3394	2.8294	-0.1621	173.0242
Formoterol	-1	8.2181	0	0.0518	0	0	4	20.3136	18.0939	0	3.4392	0	3.6281	0	0	2.7049	0	0	3.2574	0	0	0	0	0.1346	0.2477	0.3823	6.4922	0.0936	154.4476
Mifepristone	-1	13.2048	0	0.134	0	0	2	23.7284	21.5313	0	0	0	8.2865	0	1.9262	2.5317	0	0	0	0	2.1324	0	0	0.1247	0.2167	0.3515	5.9601	0.2799	188.8703
Altretamine	-1	4.6449	0	0.0112	0	0	0	13.0667	11.4846	0	0	0	11.4656	0	0	1.9928	0	0	0	0	5.5883	0	0	0.1322	0.0835	0.3818	0.0002	-0.905	96.6525
Quinidine	1	9.6323	0	0.1911	0	0	2	17.4156	15.7589	0	0	0	1.6616	3.9798	2.0894	1.7433	1.8746	0	0	2.434	0	0	0	0.1299	0.2129	0.3414	2.3313	0.6115	157.864
Haloperidol	1	9.3859	0	0.1115	1	0	2	20.727	19.0239	18.823	0	0	0	0	0	1.8045	0	0	0	2.2801	0	0	5.9179	0.1383	0.207	0.3394	3.8358	0.6828	207.0035
Dopamine	1	3.4037	0	0.0241	0	0	2	9.0909	8.199	0	0	0	0	0	0	0.7542	0	0	0	0	0	0	0	0.1324	0.2415	0.3487	3.3972	-0.2446	83.2965
Disopyramide	1	8.4287	0	0.0569	0	0	1	21.3018	19.1291	0	0	0	8.7033	0	0	1.6063	0	0	0	2.3785	0	0	0	0.1365	0.2384	0.417	4.4445	0.1008	170.0206
Vasopressin_injection	1	23.7005	0	0.0599	0	0	12	65.518	58.9565	0	0	0	0	0	0	1.0306	0	0	0	0	0	2.0526	0	0.1315	0.2771	0.4256	7.5755	2.3583	453.6953
Spiramycin	1	20.4907	0	0.0933	0	0	14	51.6327	49.9106	0	0	0	19.8093	0	8.4252	0	0	0	0	3.9443	0	0	0	0.1292	0.2152	0.3399	2.4609	-0.449	301.4712
Chlorpromazine	1	7.3025	0	0.0861	0	0	0	15.879	14.7638	6.2094	0	0	4.2318	0	0	5.9097	0	0	0	2.2257	2.3994	1.824	6.2094	0.126	0.1593	0.23	2.5305	0.3097	161.5531
Levofloxacin	1	10.321	0	0.1028	1	0	4	19.3222	16.9885	14.9837	0	0	3.8877	0	1.3426	0.6381	0	0	0	2.1657	3.6508	0	0	0.1331	0.2543	0.3864	9.1243	0.6551	139.1878
Chloroquine	1	7.2279	0	0.0427	0	0	0	18.3403	17.0405	6.0373	0	0	6.6838	0	0	1.8624	2.0651	0	0	2.4688	0	0	6.0373	0.1293	0.2385	0.3962	5.0909	0.6551	159.1469
Pentamidine	1	7.8932	0	0.0556	0	0	2	21.3018	18.636	0	0	0	0	0	0	2.9586	0	25.4999	0	0	0	0	0	0.1343	0.1746	0.3392	5.1427	0.0495	170.7893
Ziprasidone	1	10.9929	0	0.0986	0	0	1	19.9336	18.0369	6.4344	0	0	0	0	0	4.9212	2.5076	0	0	2.4841	2.3978	0	6.4344	0.13	0.2586	0.3683	2.7117	0.5586	181.7331
Mesoridazine	1	9.8646	0	0.1506	0	0	1	19.3222	17.9577	0	0	0	4.0169	0	0	5.9612	0	0	0	2.5204	2.4444	1.8176	0	0.1269	0.1525	0.7408	4.7313	0.6193	163.2596
Bepridil	1	8.7057	0	0.0642	0	0	1	21.7027	19.9088	0	0	0	4.4376	0	0	2.638	0	0	0	2.6262	2.511	0	0	0.1264	0.1435	0.3565	1.1638	-0.3508	172.0691
Granisetron	1	9.1448	0	0.1235	0	0	1	16.4675	14.6959	0	0	0	4.1229	0	0	0.9981	0	0	0	2.5162	1.7853	0	0	0.1324	0.2368	0.3865	4.452	0.268	142.1808
Quetiapine	1	9.7276	0	0.1056	0	0	2	20.28	18.5008	0	0	0	0	0	0	1.0826	4.7432	0	0	2.4164	2.4093	0	0	0.1288	0.2129	0.3468	2.8807	0.6078	175.3121
Sparfloxacin	1	11.1528	0	0.069	2	0	3	21.2404	18.8253	30.815	4.4806	0	3.8376	0	1.1507	-3.1814	0	5.933	3.3	0	3.0307	0	0	0.1289	0.2718	0.4093	6.1455	0.6069	161.9326
Prenylamine	1	8.2055	0	0.0962	0	0	0	19.7531	17.4433	0	4.6466	0	2.2709	0	0	4.183	0	0	3.7011	0	0	0	0	0.1373	0.1436	0.2894	1.112	-0.3357	190.8897
Entacapone	-1	7.4362	0	0.0208	0	0	5	20.0455	17.292	0	0	0	3.5151	0	1.1318	-2.2068	0	0	0	0	-0.8704	0	0	0.1424	0.2502	0.3669	5.5205	1.3837	180.8698
Gemfibrozil	-1	5.8336	0	0.0241	0	0	3	16.0556	14.7101	0	0	0	7.5241	0	0	3.1692	0	0	0	0	0	0	0	0.1319	0.2483	0.3759	1.0713	-0.4682	123.1483
Dorzolamide	-1	6.9837	0	0.0722	0	0	4	15.39	14.6352	0	4.5379	0	3.5549	0	0	0.5493	0	5.0788	3.1802	0	0	0	0	0.1444	0.2096	0.9312	4.2113	2.059	126.8198
Olopatadine	-1	8.2564	0	0.0518	0	0	3	19.7531	17.3949	0	0	0	4.1142	0	2.233	4.8738	0	0	0	2.1507	0	0	0	0.1297	0.2476	0.3604	2.9643	0.2445	170.1796
Levamisole	-1	5.344	0	0.0321	0	0	0	9.2422	8.3567	0	0	0	0	0	0	1.3426	0	0	0	0	2.3912	1.8873	0	0.1333	0.1469	0.2754	3.7756	0.5528	96.6832
Methazolamide	-1	4.0472	0	0	0	0	3	12.0714	10.8582	0	0	0	2.7394	0	0	0	0	4.85	0	0	1.1863	0.7462	0	0.1419	0.2144	0.8647	5.6278	2.4001	93.121
Aciclovir	-1	5.3843	0	0.014	0	0	3	12.4567	10.5832	0	0	0	0	0	1.4342	0.2137	0	5.419	0	0	1.5383	0	0	0.1314	0.2588	0.3465	6.35	0.2518	104.5744
Gentamicin	-1	12.5389	0	0.1124	0	0	7	27.5853	27.1132	0	6.1725	0	7.0773	0	0	0	0	0	6.0677	0	0	0	0	0.1382	0.2139	0.368	4.1283	-1.6874	180.2949
Beclometasone	-1	13.1273	0	0.0942	0	0	5	21.2404	20.2704	7.3034	0	0	5.6876	0	5.0023	0	0	0	0	0	0	0	7.3034	0.1438	0.2392	0.3455	7.0993	0.1883	172.7072
Ketorolac	-1	7.2415	0	0.0321	0	0	3	13.9592	11.8661	0	0	0	0	0	3.4739	0.627	0	0	0	0	1.8275	0	0	0.132	0.2508	0.3458	3.722	0.2971	147.8977
Cefapirin	-1	9.538	0.0745	0.0807	0	0	6	22.68	20.5224	0	0	0	1.2263	0	0	0.8796	0	0	0	0	0	2.6402	0	0.1336	0.2539	0.3644	2.5298	0.8339	175.0033
Ceftibuten	-1	9.5455	0.0745	0.0645	0	0	6	21.7027	19.0433	0	0	0	0	0	2.6382	0.4225	0	5.5704	0	0	0	1.3214	0	0.1303	0.2667	0.4114	3.9667	0.6417	172.169
Levocarnitine	-1	2.5105	0	0	0	0	4	14	13.06	0	0	0	7.0273	0	0	0	0	0	0	0	0	0	0	0.0604	0.251	0.4001	3.2948	-0.8009	87.5912
Calcium_folinate	-1	11.5342	0	0.0631	0	0	7	28.5694	24.3445	0	0	0	0	0	0.5575	0.6066	0	5.5181	0	0	0	0	0	0.1258	0.2623	0.3972	4.7731	0.0293	199.3094
Penciclovir	-1	6.3062	0	0.014	0	0	3	14.41	12.5249	0	0	0	0	0	1.4982	0.298	0	5.4733	0	0	1.6798	0	0	0.1315	0.2557	0.3331	5.8441	0.2298	112.041
Letrozole	-1	7.9703	0	0.0556	0	0	0	16.8438	13.5388	0	0	0	0	0	3.1402	3.2132	0	0	0	0	1.7527	0	0	0.1455	0.2191	0.2025	3.2035	0.8988	192.1627
Ceftazidime	-1	13.7177	0.0745	0.0846	0	0	7	29.97	26.8807	0	0	0	2.5425	0	9.1156	0.2673	0	5.6863	0	0	1.8247	1.3844	0	0.0729	0.2541	0.4092	2.3765	0.4174	221.8023
Clopidogrel	-1	10.9919	0.0745	0	0	0	7	21.2404	19.0737	0	0	0	1.2482	0	0	0.4021	0	5.5686	0	0	0	1.0998	0	0.1316	0.2694	0.385	4.7993	0.5044	158.3505
Glucagon	-1	29.4885	0	0.0599	0	0	18	89.2146	79.5382	0	0	0	10.579	0	1.5799	1.0909	0	0	0	0	0	1.2731	0	0.1249	0.2653	0.4269	4.65	-0.1645	574.0745
Cefprozil	-1	9.9612	0.0745	0.0837	0	0	5	21.7027	19.1502	0	0	0	1.7727	0	3.3948	0.5476	0	0	0	0	0	1.3895	0	0.135	0.2534	0.3687	2.3902	0.5313	178.1014
Clotrimazole	-1	9.4405	0	0.0919	0	0	0	18.3673	15.674	6.6915	0	0	0	0	5.643	4.0098	0	0	0	0	2.1239	0	6.6915	0.1336	0.2057	0.1956	3.8376	0.2117	209.4262
Capecitabine	-1	8.7059	0	0.0144	1	0	6	21.3018	19.4448	14.116	0	0	3.5062	0	0	-2.5363	0	0	0	0	0	0	0	0.14	0.2686	0.3979	7.0112	0.8599	164.7131
Metyrapone	-1	6.1879	0	0.0497	0	0	1	13.4321	11.4553	0	0	0	3.8043	0	0	1.5372	0	0	0	0	0	0	0	0.1424	0.1674	0.2553	3.2446	0.3132	137.7021
Norgestrel	-1	10.0448	0	0.1379	0	0	2	16.4675	15.4573	0	0	6.6906	2.2167	0	1.9568	0	0	0	0	0	0	0	0	0.1462	0.2201	0.3269	3.7477	0.0523	138.081
Doxycycline	-1	13.4668	0	0.0898	0	0	8	25.1037	22.4634	0	0	0	4.6519	0	0	-0.02	0	0	0	1.372	0	0	0	0.1376	0.2999	0.4366	4.7317	0.5891	177.81
Betamethasone	-1	13.1273	0	0.0942	1	0	5	21.2404	19.9253	16.8591	0	0	5.2571	0	4.4482	0	0	0	0	0	0	0	0	0.143	0.2384	0.3832	4.5614	0.5341	162.2271
Emedastine	-1	7.6913	0	0.0278	0	0	1	16.8438	15.3112	0	0	0	4.2352	0	0	1.2035	0	0	0	2.396	4.7418	0	0	0.1304	0.1422	0.348	4.4662	-0.0939	138.5143
Paracetamol	-1	2.9402	0	0.0278	0	0	2	9.0909	7.7536	0	0	0	1.4374	0	0	0.8837	0	0	0	0	0	0	0	0.1357	0.2351	0.365	3.8781	-0.2602	76.6717
Ketotifen	-1	8.5918	0	0.0837	0	0	1	15.5232	14.162	0	0	0	2.1826	0	0	4.5574	0	0	0	2.3813	0	0	0	0.1316	0.1682	0.3834	4.0068	0.7186	142.8696
